# nomAdjModelExceptions.tsv
#
# Human-curated table of NOM/ADJ lemmas whose missing-form generation
# (src/nomAdjParadigm.py, util/generateMissingNomAdjForms.py) should not be
# left to the empirical donor-ending-class derivation: either because the
# word is genuinely invariable/defective (status=invariable -- no form to
# generate for the missing slot(s), full stop), or because its correct
# inflected forms are known-irregular and should be given directly rather
# than derived (status=irregular, override_ortho/override_phonology set).
#
# override_ortho / override_phonology are ";"-joined in ADJ_SLOTS order
# (m_s;m_p;f_s;f_p) for ADJ, NOM_NUMBERS order (s;p) for NOM -- a slot left
# blank between semicolons means "still absent, not covered by this row".
#
# This table is the single source of truth for these lemmas -- entries are
# added by hand as util/validateLexiconAgainstNomAdjParadigms.py's
# LOW_CONFIDENCE/SUSPECTED_INVARIABLE flags surface cases the donor-table
# approach can't resolve confidently. Do not hand-encode the full set of
# French plural/feminine irregularity rules here speculatively -- only add a
# row once a flag actually surfaces it.
#
lemme	gramCat	status	override_ortho	override_phonology	note
vieil	ADJ	irregular	;vieux;;		liaison allomorph of "vieux", not a separate plural paradigm
#
# Second Morphalou pass: fixed a parser bug (Morphalou's own GENRE column
# can say "invariable", not just masculine/feminine -- was being silently
# read as "no gender info" and skipped). That fix newly exposed ~1000 more
# checkable candidates, and the following individual mismatches among them.
#
alcoolo	ADJ	irregular	;;alcoolo;alcoolos		confirmed via Morphalou
alpestre	ADJ	irregular	;;;alpestres		confirmed via Morphalou
antipoison	ADJ	irregular	;;antipoison;antipoisons		confirmed via Morphalou
canon	ADJ	irregular	;;canon;canons		confirmed via Morphalou
capitane	ADJ	irregular	capitane;capitanes;;		confirmed via Morphalou
chtimi	ADJ	irregular	;;chtimi;chtimis		confirmed via Morphalou
guarani	ADJ	irregular	;;guarani;guaranis		confirmed via Morphalou
hessois	ADJ	irregular	;hessoises;;		plural is "hessoises" for BOTH genders (confirmed via Morphalou)
idolâtre	ADJ	irregular	;;;idolâtres		confirmed via Morphalou
interarmes	ADJ	irregular	interarmes;;;		confirmed via Morphalou
intestat	ADJ	irregular	;intestat;;intestat		confirmed via Morphalou
lacustre	ADJ	irregular	;;;lacustres		confirmed via Morphalou
ligure	ADJ	irregular	ligure;ligures;;		confirmed via Morphalou
louf	ADJ	irregular	;louf;louf;louf		confirmed via Morphalou
lourdingue	ADJ	irregular	lourdingue;;;		confirmed via Morphalou
malabar	ADJ	irregular	;;malabar;		confirmed via Morphalou
monoplan	ADJ	irregular	;;monoplan;monoplans		confirmed via Morphalou
montparno	ADJ	irregular	;montparno;;		confirmed via Morphalou
opiomane	ADJ	irregular	opiomane;opiomanes;;		confirmed via Morphalou
orléanais	ADJ	irregular	;orléanaises;;		plural is "orléanaises" for BOTH genders (confirmed via Morphalou)
pleutre	ADJ	irregular	;;pleutre;pleutres		confirmed via Morphalou
rastafari	ADJ	irregular	;;rastafari;rastafaris		confirmed via Morphalou
rouennais	ADJ	irregular	;rouennaises;;		plural is "rouennaises" for BOTH genders (confirmed via Morphalou)
réglo	ADJ	irregular	;;réglo;réglos		confirmed via Morphalou
shocking	ADJ	irregular	;shocking;;		confirmed via Morphalou
souris	ADJ	irregular	;;;souris		confirmed via Morphalou
suisse	ADJ	irregular	;;;suisses		confirmed via Morphalou
transverse	ADJ	irregular	transverse;;;		confirmed via Morphalou
tournois	ADJ	irregular	;;tournois;tournois		confirmed via Morphalou
turinois	ADJ	irregular	;turinoises;;		plural is "turinoises" for BOTH genders (confirmed via Morphalou)
véronais	ADJ	irregular	;véronaises;;		plural is "véronaises" for BOTH genders (confirmed via Morphalou)
wurtembergeois	ADJ	irregular	;wurtembergeoises;;		plural is "wurtembergeoises" for BOTH genders (confirmed via Morphalou)
zain	ADJ	irregular	;;zain;zains		confirmed via Morphalou

targui	NOM	irregular	;touaregs		suppletive plural/ethnonym, see also targui ADJ
targui	ADJ	irregular	;touareg;;touarègue		suppletive paradigm, see also targui NOM
capon	ADJ	irregular	;;;caponnes		regular -on -> -onne doubling, donor table wrongly used single n
fripon	ADJ	irregular	;;;friponnes		regular -on -> -onne doubling, donor table wrongly used single n
jeunot	ADJ	irregular	;;jeunotte;jeunottes		-ot -> -otte doubling
joliet	ADJ	irregular	;;joliette;joliettes		-et -> -ette doubling, no accent
champi	ADJ	irregular	;;champisse;champisses		irregular regional feminine (Morphalou also allows champise/champises)
foufou	ADJ	irregular	;;fofolle;fofolles		suppletive feminine, drops one "u"
#
# Third Morphalou pass: added a generateMissingForm bridge for
# gender-invariant-suffix words needing BOTH axes at once (f_s -> m_p etc.),
# which fixed several "-ide"/"-yste" cases but exposed these -- masculine
# plurals that a direct feminine-source cross-axis donor lookup guesses
# wrong (small, noisy donor pool for that specific cross-axis pair; these
# words' masculine side isn't gender-invariant, so the bridge doesn't apply
# either) -- confirmed via Morphalou.
#
clos	ADJ	irregular	;clos;;		masculine plural not derivable from feminine cross-axis
dispos	ADJ	irregular	;dispos;;		masculine plural not derivable from feminine cross-axis
déclos	ADJ	irregular	;déclos;;		masculine plural not derivable from feminine cross-axis
indispos	ADJ	irregular	;indispos;;		masculine plural not derivable from feminine cross-axis
ras	ADJ	irregular	;ras;;		masculine plural not derivable from feminine cross-axis
ribaud	ADJ	irregular	;ribauds;;		masculine plural not derivable from feminine cross-axis
sextil	ADJ	irregular	;sextils;;		masculine plural not derivable from feminine cross-axis
éclos	ADJ	irregular	;éclos;;		masculine plural not derivable from feminine cross-axis

